iter	Passed	Remaining
0	8	1659
1	15	1579
2	24	1577
3	31	1555
4	42	1648
5	54	1749
6	65	1793
7	73	1753
8	81	1719
9	88	1688
10	96	1661
11	104	1635
12	112	1621
13	120	1598
14	128	1584
15	136	1569
16	144	1554
17	152	1541
18	162	1549
19	173	1564
20	184	1575
21	193	1562
22	202	1560
23	210	1544
24	218	1530
25	226	1516
26	234	1499
27	241	1485
28	249	1472
29	257	1457
30	265	1447
31	273	1434
32	281	1423
33	288	1410
34	296	1399
35	304	1386
36	312	1376
37	320	1367
38	328	1358
39	336	1346
40	344	1336
41	352	1326
42	360	1316
43	368	1305
44	383	1320
45	400	1339
46	417	1357
47	433	1372
48	444	1369
49	453	1359
50	460	1345
51	470	1339
52	482	1336
53	492	1332
54	501	1321
55	509	1309
56	517	1297
57	525	1285
58	533	1274
59	541	1262
60	549	1251
61	556	1239
62	564	1227
63	572	1217
64	580	1206
65	588	1195
66	596	1183
67	603	1172
68	611	1161
69	619	1150
70	627	1139
71	634	1128
72	642	1117
73	650	1108
74	662	1103
75	671	1095
76	679	1084
77	694	1085
78	711	1089
79	727	1090
80	734	1079
81	742	1068
82	750	1057
83	758	1047
84	766	1036
85	776	1029
86	792	1028
87	808	1029
88	824	1028
89	837	1023
90	851	1019
91	859	1009
92	868	998
93	879	991
94	887	981
95	895	969
96	903	959
97	911	948
98	918	937
99	926	926
100	942	923
101	950	912
102	957	902
103	965	891
104	973	881
105	981	870
106	989	859
107	997	849
108	1005	839
109	1013	829
110	1021	818
111	1028	808
112	1037	798
113	1044	788
114	1052	777
115	1061	768
116	1069	758
117	1077	748
118	1085	739
119	1093	729
120	1101	719
121	1109	709
122	1117	699
123	1125	689
124	1133	680
125	1141	670
126	1149	660
127	1156	650
128	1164	640
129	1172	631
130	1188	625
131	1204	620
132	1221	615
133	1236	609
134	1244	599
135	1252	589
136	1260	579
137	1268	569
138	1276	560
139	1284	550
140	1292	540
141	1301	531
142	1309	521
143	1317	512
144	1325	502
145	1333	493
146	1341	483
147	1349	474
148	1357	464
149	1364	454
150	1373	445
151	1380	436
152	1389	426
153	1396	417
154	1404	407
155	1412	398
156	1420	389
157	1428	379
158	1436	370
159	1444	361
160	1452	351
161	1460	342
162	1468	333
163	1476	324
164	1489	315
165	1500	307
166	1508	298
167	1516	288
168	1524	279
169	1537	271
170	1553	263
171	1564	254
172	1572	245
173	1580	236
174	1588	226
175	1596	217
176	1604	208
177	1612	199
178	1620	190
179	1628	180
180	1636	171
181	1644	162
182	1652	153
183	1660	144
184	1668	135
185	1676	126
186	1684	117
187	1692	108
188	1700	98
189	1708	89
190	1716	80
191	1724	71
192	1732	62
193	1740	53
194	1748	44
195	1756	35
196	1765	26
197	1773	17
198	1781	8
199	1789	0
