iter	Passed	Remaining
0	22	4433
1	47	4710
2	92	6092
3	120	5886
4	143	5597
5	168	5457
6	193	5330
7	231	5553
8	266	5653
9	292	5559
10	317	5447
11	343	5383
12	379	5452
13	409	5444
14	434	5363
15	459	5286
16	485	5225
17	508	5146
18	535	5098
19	559	5034
20	588	5018
21	611	4948
22	651	5013
23	714	5236
24	747	5233
25	774	5186
26	803	5150
27	831	5110
28	861	5081
29	889	5042
30	914	4985
31	943	4953
32	976	4943
33	1008	4923
34	1037	4890
35	1063	4845
36	1098	4839
37	1132	4829
38	1156	4773
39	1177	4711
40	1206	4679
41	1229	4626
42	1254	4578
43	1278	4533
44	1303	4490
45	1328	4448
46	1355	4413
47	1377	4362
48	1400	4317
49	1426	4279
50	1445	4222
51	1471	4187
52	1496	4151
53	1517	4103
54	1544	4072
55	1569	4035
56	1590	3989
57	1613	3950
58	1631	3900
59	1655	3863
60	1683	3836
61	1717	3822
62	1742	3789
63	1767	3755
64	1790	3719
65	1815	3686
66	1838	3650
67	1863	3617
68	1889	3587
69	1913	3552
70	1938	3521
71	1966	3496
72	1989	3460
73	2019	3437
74	2056	3427
75	2087	3406
76	2111	3372
77	2134	3339
78	2156	3302
79	2181	3272
80	2205	3239
81	2227	3205
82	2250	3172
83	2276	3143
84	2299	3111
85	2324	3081
86	2348	3050
87	2373	3020
88	2397	2990
89	2420	2958
90	2448	2933
91	2470	2899
92	2493	2869
93	2515	2836
94	2537	2804
95	2560	2773
96	2580	2740
97	2601	2707
98	2622	2675
99	2642	2642
100	2669	2616
101	2691	2585
102	2714	2556
103	2738	2527
104	2759	2496
105	2784	2469
106	2810	2442
107	2840	2419
108	2882	2406
109	2911	2382
110	2946	2362
111	2977	2339
112	3007	2315
113	3040	2293
114	3070	2269
115	3104	2248
116	3140	2227
117	3165	2199
118	3186	2168
119	3212	2141
120	3240	2115
121	3266	2088
122	3297	2064
123	3327	2039
124	3366	2019
125	3397	1995
126	3435	1974
127	3465	1949
128	3485	1918
129	3511	1890
130	3536	1862
131	3558	1833
132	3583	1805
133	3613	1779
134	3634	1749
135	3656	1720
136	3681	1693
137	3704	1664
138	3728	1636
139	3752	1608
140	3777	1580
141	3796	1550
142	3823	1523
143	3848	1496
144	3872	1468
145	3892	1439
146	3919	1413
147	3937	1383
148	3964	1356
149	3988	1329
150	4011	1301
151	4034	1274
152	4060	1247
153	4078	1218
154	4103	1191
155	4126	1163
156	4148	1136
157	4176	1110
158	4205	1084
159	4235	1058
160	4259	1031
161	4281	1004
162	4301	976
163	4329	950
164	4350	922
165	4369	895
166	4386	866
167	4412	840
168	4439	814
169	4461	787
170	4491	761
171	4523	736
172	4557	711
173	4590	685
174	4615	659
175	4639	632
176	4661	605
177	4684	578
178	4705	552
179	4730	525
180	4752	498
181	4774	472
182	4794	445
183	4820	419
184	4843	392
185	4867	366
186	4889	339
187	4912	313
188	4935	287
189	4971	261
190	5000	235
191	5025	209
192	5043	182
193	5067	156
194	5086	130
195	5106	104
196	5126	78
197	5149	52
198	5171	25
199	5193	0
